id,name,first_release_date,genres,rating,rating_count,aggregated_rating,aggregated_rating_count,release_year,release_age_days,initial_platform_count_30d,initial_platform_group,lifetime_platform_count,expanded_after_30d,rating_count_log
23188,Immortal Redneck,2017-04-25,Arcade|Indie|Shooter,55.06592901885226,19,80.33333333333333,3,2017,3394,3,multi,6,True,2.995732273553991
23193,Battlerite,2017-11-08,Fighting|Hack and slash/Beat 'em up|MOBA|Real Time Strategy (RTS)|Strategy,78.27793154919661,95,80.0,9,2017,3197,1,single,2,True,4.564348191467836
23212,Aven Colony,2017-07-25,Indie|Simulator|Strategy,63.25808510042353,30,72.71428571428571,7,2017,3303,3,multi,3,False,3.4339872044851463
23236,"Cook, Serve, Delicious! 2!!",2017-09-13,Indie|Simulator|Strategy,74.46941373034151,23,82.5,2,2017,3253,3,multi,7,True,3.1780538303479458
23330,Nine Parchments,2017-12-05,Role-playing (RPG),73.82262605093322,14,65.57142857142857,7,2017,3170,3,multi,4,True,2.70805020110221
23345,Life is Feudal: Forest Village,2017-05-26,Indie|Simulator|Strategy,70.67187412431564,23,,0,2017,3363,1,single,1,False,3.1780538303479458
23501,88 Heroes,2017-03-24,Arcade|Indie|Platform,90.0,3,76.5,2,2017,3426,5,multi,7,True,1.3862943611198906
23504,Rezrog,2017-05-31,Adventure|Indie|Role-playing (RPG)|Tactical,50.0,2,,0,2017,3358,3,multi,3,False,1.0986122886681098
23689,Battle Chef Brigade,2017-11-20,Adventure|Hack and slash/Beat 'em up|Indie|Platform|Puzzle|Role-playing (RPG)|Simulator,74.80913449365002,20,80.71428571428571,7,2017,3185,4,multi,6,True,3.044522437723423
23905,Starpoint Gemini Warlords,2017-05-23,Indie|Real Time Strategy (RTS)|Role-playing (RPG)|Simulator|Strategy|Tactical,62.56987100881058,6,46.0,1,2017,3366,1,single,2,True,1.9459101490553132
23924,Kick the Buddy,2017-11-09,Adventure|Arcade,59.10237984497858,7,,0,2017,3196,1,single,2,True,2.0794415416798357
24105,Aporia: Beyond the Valley,2017-07-19,Adventure|Indie|Puzzle,77.49480385490776,12,76.5,2,2017,3309,1,single,1,False,2.5649493574615367
24280,Tokaido,2017-03-20,Adventure|Indie|Strategy,70.0,1,80.0,1,2017,3430,2,multi,4,True,0.6931471805599453
24428,Sundered,2017-07-28,Adventure|Indie|Platform,79.5952875794878,25,79.0909090909091,11,2017,3300,4,multi,7,True,3.258096538021482
24482,Nidhogg 2,2017-08-15,Arcade|Fighting|Indie,69.76517086767552,28,76.88235294117646,17,2017,3282,3,multi,6,True,3.367295829986474
24515,Deceit,2017-03-03,Indie|Shooter|Tactical,50.48230819177556,43,,0,2017,3447,2,multi,2,False,3.784189633918261
24815,Cold Waters,2017-06-05,Indie|Real Time Strategy (RTS)|Simulator|Strategy,80.0,1,,0,2017,3353,2,multi,2,False,0.6931471805599453
24856,Conarium,2017-06-06,Adventure|Indie|Puzzle,65.56328339395222,44,72.0,2,2017,3352,1,single,6,True,3.8066624897703196
24868,Polybius,2017-05-09,Arcade,70.0,2,,0,2017,3380,2,multi,3,True,1.0986122886681098
24917,Lone Echo,2017-07-20,Adventure,90.31585446769883,10,89.0,3,2017,3308,3,multi,3,False,2.3978952727983707
25136,X-Plane 11,2017-03-30,Simulator,81.34742223337973,5,,0,2017,3420,3,multi,3,False,1.791759469228055
25210,Disc Jam,2017-03-07,Arcade|Indie|Sport,73.42047089247079,27,69.75,4,2017,3443,2,multi,3,True,3.332204510175204
25211,Emily Is Away Too,2017-05-26,Adventure|Indie|Role-playing (RPG)|Simulator|Visual Novel,76.82926710479107,56,80.5,2,2017,3363,3,multi,3,False,4.04305126783455
25213,Songbringer,2017-09-01,Adventure|Indie|Role-playing (RPG),77.49887159308061,6,72.16666666666667,6,2017,3265,5,multi,7,True,1.9459101490553132
